date,price
2000-01,1394.46
2000-02,1366.42
2000-03,1498.58
2000-04,1452.43
2000-05,1420.6
2000-06,1454.6
2000-07,1430.83
2000-08,1517.68
2000-09,1436.51
2000-10,1429.4
2000-11,1314.95
2000-12,1320.28
2001-01,1366.01
2001-02,1239.94
2001-03,1160.33
2001-04,1249.46
2001-05,1255.82
2001-06,1224.38
2001-07,1211.23
2001-08,1133.58
2001-09,1040.94
2001-10,1059.78
2001-11,1139.45
2001-12,1148.08
2002-01,1130.2
2002-02,1106.73
2002-03,1147.39
2002-04,1076.92
2002-05,1067.14
2002-06,989.82
2002-07,911.62
2002-08,916.07
2002-09,815.28
2002-10,885.76
2002-11,936.31
2002-12,879.82
2003-01,855.7
2003-02,841.15
2003-03,848.18
2003-04,916.92
2003-05,963.59
2003-06,974.5
2003-07,990.31
2003-08,1008.01
2003-09,995.97
2003-10,1050.71
2003-11,1058.2
2003-12,1111.92
2004-01,1131.13
2004-02,1144.94
2004-03,1126.21
2004-04,1107.3
2004-05,1120.68
2004-06,1140.84
2004-07,1101.72
2004-08,1104.24
2004-09,1114.58
2004-10,1130.2
2004-11,1173.82
2004-12,1211.92
2005-01,1181.27
2005-02,1203.6
2005-03,1180.59
2005-04,1156.85
2005-05,1191.5
2005-06,1191.33
2005-07,1234.18
2005-08,1220.33
2005-09,1228.81
2005-10,1207.01
2005-11,1249.48
2005-12,1248.29
2006-01,1280.08
2006-02,1280.66
2006-03,1294.87
2006-04,1310.61
2006-05,1270.09
2006-06,1270.2
2006-07,1276.66
2006-08,1303.82
2006-09,1335.85
2006-10,1377.94
2006-11,1400.63
2006-12,1418.3
2007-01,1438.24
2007-02,1406.82
2007-03,1420.86
2007-04,1482.37
2007-05,1530.62
2007-06,1503.35
2007-07,1455.27
2007-08,1473.99
2007-09,1526.75
2007-10,1549.38
2007-11,1481.14
2007-12,1468.36
2008-01,1378.55
2008-02,1330.63
2008-03,1322.7
2008-04,1385.59
2008-05,1400.38
2008-06,1280
2008-07,1267.38
2008-08,1282.83
2008-09,1166.36
2008-10,968.75
2008-11,896.24
2008-12,903.25
2009-01,825.88
2009-02,735.09
2009-03,797.87
2009-04,872.81
2009-05,919.14
2009-06,919.32
2009-07,987.48
2009-08,1020.62
2009-09,1057.08
2009-10,1036.19
2009-11,1095.63
2009-12,1115.1
2010-01,1073.87
2010-02,1104.49
2010-03,1140.45
